Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,17.913334,18.223333,17.889999,18.076668,13.113418,62259300
2010-01-05,18.030001,18.063334,17.856667,17.896667,12.982834,46945200
2010-01-06,17.833332,17.943333,17.806667,17.856667,12.953820,37551600
2010-01-07,17.906668,17.916668,17.753332,17.866667,12.961075,31988100
2010-01-08,17.809999,17.843332,17.673332,17.776667,12.895785,34089600
2010-01-11,17.776667,18.146667,17.700001,18.070000,13.108580,41963100
2010-01-12,18.000000,18.250000,17.953333,18.243334,13.234318,45351000
2010-01-13,18.263332,18.400000,18.136667,18.336666,13.302028,39872100
2010-01-14,18.243334,18.280001,18.053333,18.070000,13.108580,41316000
2010-01-15,18.113333,18.183332,17.866667,17.893333,12.980419,57262500
2010-01-19,17.969999,18.086666,17.833332,18.010000,13.065051,43855500
2010-01-20,17.973333,17.980000,17.743334,17.953333,13.023943,39925800
2010-01-21,18.023333,18.023333,17.613333,17.639999,12.796643,48086100
2010-01-22,17.653334,17.823334,17.563334,17.646667,12.801479,58247700
2010-01-25,17.713333,17.740000,17.593332,17.626667,12.786972,36009900
2010-01-26,17.606667,17.953333,17.576668,17.870001,12.963495,46752000
2010-01-27,17.840000,17.923332,17.700001,17.799999,12.912712,39576300
2010-01-28,17.793333,17.816668,17.503332,17.536667,12.721681,50880300
2010-01-29,17.893333,18.049999,17.799999,17.809999,12.919967,72842400
2010-02-01,17.873333,17.926666,17.770000,17.826668,12.932056,33058500
2010-02-02,17.863333,17.906668,17.776667,17.830000,12.934473,34163700
2010-02-03,17.910000,18.166668,17.879999,18.090000,13.123090,53966700
2010-02-04,17.959999,18.100000,17.653334,17.656668,12.808738,63089700
2010-02-05,17.590000,17.843332,17.586666,17.816668,12.924807,46637400
2010-02-08,17.793333,17.846666,17.639999,17.643333,12.799065,31517700
2010-02-09,17.736668,17.873333,17.606667,17.750000,12.876440,32475000
2010-02-10,17.756666,17.833332,17.653334,17.746668,12.874025,28225200
2010-02-11,17.709999,17.816668,17.636667,17.693333,12.835333,34738800
2010-02-12,17.703333,17.703333,17.553333,17.633333,12.791806,51115200
2010-02-16,17.746668,17.906668,17.633333,17.853333,12.951399,47313600
2010-02-17,17.896667,18.083332,17.883333,18.020000,13.072305,46602600
2010-02-18,17.733334,17.833332,17.636667,17.823334,12.929639,88372500
2010-02-19,17.730000,17.860001,17.690001,17.830000,12.934473,45271200
2010-02-22,17.840000,17.973333,17.780001,17.943333,13.016689,36291600
2010-02-23,17.916668,18.026667,17.816668,17.873333,12.965911,42414000
2010-02-24,17.913334,17.983334,17.826668,17.973333,13.038452,31872600
2010-02-25,17.820000,18.093332,17.750000,18.049999,13.094070,40530300
2010-02-26,18.073334,18.080000,17.833332,18.023333,13.074726,47858700
2010-03-01,18.013332,18.043333,17.846666,17.966667,13.033621,36386100
2010-03-02,17.943333,17.963333,17.823334,17.863333,12.958658,42245100
2010-03-03,17.783333,17.916668,17.716667,17.886667,12.975585,34893600
2010-03-04,18.006666,18.030001,17.916668,17.986668,13.048125,33635400
2010-03-05,17.990000,18.056667,17.833332,18.046667,13.091654,34125300
2010-03-08,18.003332,18.093332,17.976667,18.049999,13.094070,22670100
2010-03-09,18.040001,18.166668,17.973333,18.020000,13.072305,37753800
2010-03-10,17.889999,18.006666,17.843332,17.876667,13.041426,38091000
2010-03-11,17.879999,17.996668,17.843332,17.990000,13.124103,32021700
2010-03-12,18.053333,18.080000,17.930000,17.966667,13.107080,31433700
2010-03-15,18.129999,18.513332,18.116667,18.473333,13.476710,73121700
2010-03-16,18.626667,18.756666,18.533333,18.663334,13.615313,55359000
2010-03-17,18.683332,18.709999,18.553333,18.639999,13.598292,37485600
2010-03-18,18.629999,18.650000,18.513332,18.646667,13.603162,28416600
2010-03-19,18.446667,18.756666,18.383333,18.446667,13.457249,51552300
2010-03-22,18.436666,18.646667,18.376667,18.540001,13.525340,29622300
2010-03-23,18.543333,18.666668,18.536667,18.629999,13.590996,28107900
2010-03-24,18.576668,18.666668,18.476667,18.526667,13.515613,26096700
2010-03-25,18.543333,18.663334,18.533333,18.536667,13.522909,29379300
